#{"t_start": 1738319537.8338854, "env_id": null}
r,l,t
382725.2,8000,4253.637138
490198.2,8000,4258.653018
954724.0,8000,4263.665922
466941.2,8000,4271.181881
429021.6,8000,4276.17518
437131.2,8000,4281.172858
407067.6,8000,4286.165189
448764.0,8000,4291.141374
401725.0,8000,4298.430967
410607.6,8000,4303.416668
411519.6,8000,4308.399482
559942.0,8000,4313.387707
481228.2,8000,4318.351596
413084.8,8000,4325.684677
372787.0,8000,4330.670983
430456.6,8000,4335.651149
412930.8,8000,4340.646819
435467.4,8000,4345.624559
454203.4,8000,4352.776792
471041.6,8000,4357.75843
399321.4,8000,4362.743893
399899.8,8000,4367.729914
390417.4,8000,4372.725953
465616.2,8000,4380.308013
741470.4,8000,4385.298608
389784.0,8000,4390.268339
664671.2,8000,4395.239274
440627.8,8000,4400.218052
338073.8,8000,4407.400029
409151.2,8000,4412.397287
391713.4,8000,4417.38779
581085.6,8000,4422.401578
603714.8,8000,4427.415508
658828.4,8000,4434.644519
413004.8,8000,4439.621192
558903.6,8000,4444.591985
536456.8,8000,4449.570495
386294.2,8000,4454.548609
728673.8,8000,4461.656511
567512.8,8000,4466.64869
621203.8,8000,4471.641837
913271.8,8000,4476.637633
-6044.6,8000,4481.675542
896162.6,8000,4488.77755
1454493.4,8000,4493.766666
405821.2,8000,4498.775609
429031.2,8000,4503.749799
492306.6,8000,4508.73942
1011011.2,8000,4515.838711
823183.4,8000,4520.822309
479366.4,8000,4525.804862
1121746.6,8000,4530.786545
423883.0,8000,4535.755171
597694.6,8000,4542.868942
406075.0,8000,4547.859626
648615.8,8000,4552.845962
569477.4,8000,4557.835459
615895.8,8000,4562.824115
415025.8,8000,4569.982955
674829.4,8000,4574.986148
518408.8,8000,4579.988006
529728.4,8000,4584.990958
468473.6,8000,4589.979834
403177.6,8000,4597.175736
747592.0,8000,4602.1762
409991.0,8000,4607.170479
643121.6,8000,4612.152645
912008.2,8000,4617.131201
720187.2,8000,4624.670179
